(762, 570)
(516, 221)
(879, 452)
(476, 22)
(601, 317)
(936, 828)
(912, 207)
(544, 425)
(245, 952)
(877, 246)
(372, 8)
(167, 176)
(40, 927)
(503, 570)
(729, 561)
(500, 344)
(633, 157)
(304, 777)
(186, 441)
(119, 565)
(872, 863)
(546, 253)
(754, 507)
(548, 294)
(435, 63)
(105, 534)
(140, 150)
(777, 80)
(296, 842)
(849, 838)
(727, 891)
(308, 926)
(890, 421)
(37, 977)
(349, 824)
(968, 977)
(614, 963)
(457, 786)
(703, 893)
(71, 224)
(222, 355)
(800, 318)
(8, 727)
(877, 421)
(736, 633)
(718, 482)
(756, 195)
(335, 661)
(628, 426)
(8, 306)
(630, 497)
(803, 79)
(70, 244)
(264, 375)
(910, 731)
(173, 653)
(942, 663)
(877, 493)
(860, 823)
(545, 880)
(965, 740)
(755, 929)
(173, 297)
(359, 184)
(291, 14)
(917, 626)
(771, 154)
(598, 206)
(556, 900)
(732, 710)
(502, 576)
(17, 696)
(531, 587)
(109, 443)
(215, 43)
(646, 731)
(10, 457)
(854, 712)
(156, 437)
(22, 254)
(964, 323)
(839, 102)
(313, 980)
(818, 247)
(148, 345)
(613, 155)
(568, 414)
(778, 721)
(946, 538)
(398, 577)
(63, 322)
(506, 184)
(895, 329)
(290, 373)
(146, 878)
(923, 627)
(267, 590)
(622, 602)
(875, 177)
(623, 33)
(586, 695)
(980, 208)
(634, 133)
(212, 1)
(327, 857)
(143, 521)
(765, 366)
(763, 86)
(388, 155)
(616, 500)
(838, 375)
(206, 420)
(134, 137)
(358, 103)
(592, 668)
(217, 899)
(633, 650)
(288, 567)
(119, 251)
(103, 739)
(345, 767)
(709, 422)
(190, 298)
(893, 514)
(560, 750)
(752, 56)
(883, 120)
(604, 115)
(233, 742)
(518, 286)
(975, 13)
(620, 956)
(88, 206)
(725, 628)
(173, 145)
(916, 779)
(671, 476)
(669, 191)
(7, 288)
(26, 522)
(472, 35)
(976, 858)
(277, 560)
(562, 582)
(515, 259)
(96, 80)
(795, 131)
(772, 459)
(582, 159)
(662, 261)
(786, 936)
(809, 696)
(621, 181)
(659, 542)
(257, 182)
(784, 857)
(494, 392)
(354, 418)
(873, 684)
(213, 815)
(606, 827)
(454, 339)
(391, 466)
(565, 485)
(409, 986)
(213, 581)
(133, 176)
(376, 507)
(168, 683)
(365, 922)
(489, 54)
(412, 246)
(823, 237)
(104, 711)
(648, 735)
(215, 6)
(257, 220)
(690, 647)
(875, 363)
(554, 695)
(882, 712)
(992, 483)
(497, 301)
(380, 649)
(859, 349)
(453, 767)
(581, 109)
(824, 544)
(890, 435)
(288, 877)
(370, 394)
(298, 18)
(653, 898)
(916, 107)
(364, 748)
(321, 298)
(93, 903)
(824, 610)
(479, 901)
(401, 667)
(684, 86)
(469, 615)
(223, 121)
(483, 227)
(362, 909)
(540, 286)
(221, 24)
(860, 145)
(824, 486)
(40, 997)
(380, 141)
(219, 141)
(958, 786)
(892, 186)
(989, 942)
(884, 344)
(799, 314)
(512, 756)
(196, 408)
(596, 14)
(669, 875)
(946, 146)
(231, 490)
(818, 365)
(237, 968)
