[65, 34, 19, 82, 78, 70, 94, 49, 57, 59, 92, 76, 85, 8, 96, 32, 36, 14, 38, 16, 13, 35, 75, 12, 11, 57, 74, 12, 85, 61, 86, 81, 39, 15, 32, 9, 24, 34, 35, 22, 85, 73, 76, 67, 17, 58, 12, 21, 97, 81, 52, 96, 89, 58, 81, 94, 14, 62, 85, 25, 19, 50, 3, 92, 44, 2, 5, 7, 81, 81, 8, 30, 2, 3, 48, 16, 15, 28, 50, 91, 38, 18, 12, 86, 31, 85, 37, 86, 76, 38, 92, 44, 97, 99, 35, 75, 26, 71, 36, 0]
[19, 55, 45, 33, 23, 77, 82, 53, 11, 20, 36, 20, 18, 61, 15, 44, 22, 77, 33, 24, 43, 78, 44, 45, 68, 31, 5, 24, 87, 84, 38, 37, 19, 94, 51, 31, 78, 19, 9, 88, 96, 2, 52, 14, 37, 49, 98, 12, 38, 75, 40, 65, 27, 69, 96, 78, 86, 38, 28, 74, 56, 49, 14, 49, 93, 34, 81, 93, 93, 25, 39, 97, 89, 53, 3, 44, 79, 93, 79, 31, 20, 60, 26, 90, 96, 97, 57, 3, 44, 93, 62, 64, 76, 64, 60, 15, 17, 45, 12, 46]
[31, 67, 39, 57, 69, 58, 86, 8, 57, 37, 36, 0, 11, 46, 35, 16, 76, 97, 70, 28, 97, 28, 35, 41, 44, 50, 47, 48, 93, 30, 95, 70, 19, 56, 79, 49, 24, 4, 15, 51, 13, 52, 83, 27, 71, 58, 97, 1, 99, 83, 45, 64, 44, 0, 60, 81, 88, 90, 67, 58, 87, 22, 36, 18, 32, 55, 74, 1, 0, 25, 96, 59, 36, 63, 25, 10, 44, 15, 82, 57, 0, 84, 67, 85, 10, 91, 55, 10, 88, 28, 53, 10, 27, 41, 65, 49, 29, 81, 66, 28]
[8, 9, 73, 93, 51, 60, 81, 73, 98, 74, 8, 42, 32, 38, 56, 16, 12, 86, 82, 66, 54, 33, 26, 30, 26, 18, 78, 48, 57, 17, 89, 51, 81, 53, 1, 29, 83, 87, 68, 67, 22, 50, 26, 35, 29, 44, 19, 53, 97, 60, 41, 68, 20, 81, 63, 0, 94, 4, 98, 6, 46, 77, 59, 43, 44, 60, 11, 92, 98, 13, 61, 46, 87, 82, 94, 69, 10, 50, 66, 94, 82, 80, 84, 13, 95, 1, 54, 55, 62, 67, 68, 97, 0, 91, 12, 57, 28, 17, 95, 66]
[82, 52, 16, 36, 40, 14, 65, 27, 5, 41, 83, 82, 4, 15, 59, 33, 42, 76, 60, 34, 62, 77, 95, 73, 72, 25, 50, 56, 25, 58, 62, 82, 79, 12, 50, 16, 58, 40, 68, 39, 74, 27, 24, 87, 16, 61, 50, 35, 20, 99, 14, 69, 72, 7, 81, 23, 68, 96, 77, 7, 36, 83, 31, 44, 8, 26, 6, 87, 45, 84, 74, 54, 80, 8, 99, 27, 27, 22, 2, 41, 68, 98, 49, 62, 48, 81, 9, 44, 89, 41, 3, 60, 34, 92, 20, 9, 56, 58, 90, 75]
[89, 90, 10, 41, 88, 95, 93, 57, 73, 40, 81, 40, 16, 64, 58, 74, 72, 37, 96, 59, 72, 5, 50, 76, 31, 32, 94, 22, 82, 58, 79, 16, 82, 93, 3, 80, 73, 36, 71, 87, 89, 27, 96, 98, 82, 3, 55, 10, 88, 1, 60, 61, 0, 27, 31, 96, 74, 2, 44, 98, 59, 27, 62, 11, 98, 98, 81, 18, 73, 10, 70, 7, 49, 3, 64, 94, 84, 60, 63, 52, 98, 50, 66, 9, 94, 92, 45, 8, 21, 95, 98, 93, 83, 72, 36, 16, 41, 15, 67, 99]
[69, 3, 44, 33, 14, 3, 42, 71, 0, 42, 83, 67, 24, 76, 97, 74, 46, 13, 88, 55, 83, 50, 50, 99, 30, 38, 89, 26, 22, 83, 43, 62, 85, 16, 52, 44, 70, 28, 83, 10, 32, 52, 6, 54, 88, 88, 76, 53, 49, 77, 73, 57, 79, 93, 73, 2, 49, 95, 19, 36, 67, 65, 65, 9, 40, 99, 58, 95, 49, 84, 33, 54, 8, 45, 61, 2, 87, 47, 5, 99, 14, 77, 61, 12, 20, 67, 32, 80, 26, 22, 36, 22, 17, 44, 41, 7, 0, 61, 73, 69]
[86, 61, 12, 62, 24, 49, 0, 77, 96, 81, 70, 72, 93, 52, 73, 97, 4, 26, 72, 43, 49, 98, 16, 17, 50, 86, 6, 70, 14, 17, 91, 55, 64, 56, 5, 78, 56, 94, 38, 42, 99, 90, 56, 85, 67, 20, 64, 40, 9, 48, 42, 59, 82, 24, 77, 55, 30, 79, 79, 7, 95, 29, 9, 24, 2, 18, 45, 66, 10, 90, 73, 57, 57, 64, 78, 85, 35, 0, 65, 99, 94, 22, 97, 79, 41, 37, 92, 88, 14, 89, 49, 0, 16, 33, 68, 20, 90, 35, 28, 39]
[17, 10, 98, 65, 88, 79, 18, 56, 26, 86, 96, 96, 96, 35, 87, 90, 85, 19, 44, 14, 77, 38, 76, 13, 9, 43, 51, 84, 40, 44, 19, 85, 37, 31, 99, 9, 32, 44, 64, 35, 54, 38, 40, 34, 22, 58, 39, 32, 49, 99, 33, 3, 6, 95, 22, 33, 80, 42, 16, 66, 31, 87, 38, 59, 55, 54, 34, 58, 77, 15, 19, 28, 42, 67, 49, 83, 33, 98, 14, 50, 55, 31, 51, 96, 65, 56, 54, 73, 15, 7, 69, 55, 85, 29, 69, 20, 15, 21, 72, 70]
[10, 40, 13, 37, 32, 80, 7, 31, 25, 23, 88, 46, 46, 96, 31, 87, 28, 35, 29, 31, 3, 44, 11, 20, 13, 52, 32, 26, 38, 44, 22, 78, 18, 81, 38, 91, 11, 75, 46, 15, 64, 47, 39, 2, 62, 1, 86, 72, 6, 77, 1, 3, 65, 64, 65, 72, 55, 12, 20, 33, 78, 31, 40, 5, 86, 17, 11, 37, 19, 90, 61, 80, 50, 99, 20, 54, 34, 37, 52, 69, 94, 37, 30, 4, 19, 17, 81, 62, 9, 91, 4, 29, 59, 39, 21, 54, 8, 99, 64, 74]
[70, 13, 14, 25, 51, 92, 66, 8, 9, 88, 56, 50, 54, 94, 81, 24, 91, 27, 16, 9, 73, 79, 7, 8, 18, 12, 42, 31, 93, 49, 70, 49, 71, 83, 78, 42, 9, 10, 76, 35, 87, 32, 95, 59, 22, 68, 59, 98, 95, 96, 22, 40, 80, 97, 79, 11, 42, 88, 20, 73, 12, 3, 42, 15, 68, 61, 71, 2, 64, 28, 13, 32, 5, 97, 35, 30, 23, 52, 26, 88, 0, 12, 13, 15, 21, 94, 0, 64, 46, 44, 37, 16, 66, 13, 33, 91, 14, 26, 34, 78]
